experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,dice_weight,focal_weight,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
dice_focal__mix_weight-0.2__gamma-2,dice_focal,1,43,1,0.22241068887710572,0.21723497369885444,0.2,0.8,2.0,0.0,0.44305977584014145,0.0,0.001691513514075627,0.0,0.0,0.0,0.0,0.0,0.04941680992824635,0.06860370450727853,0.08895025787084342
dice_focal__mix_weight-0.2__gamma-2,dice_focal,1,43,2,0.21908978541195392,0.21620487573742866,0.2,0.8,2.0,0.0,0.33494528060139644,0.0,0.008400645246093736,0.0,0.0,0.0,0.0,0.0,0.0381495473163878,0.05760806395117549,0.06866918516949803
dice_focal__mix_weight-0.2__gamma-2,dice_focal,1,43,3,0.21822658851742743,0.2157153071165085,0.2,0.8,2.0,0.0,0.4617535645633422,0.0,0.009291910932468894,0.0,0.0,0.0,0.0,0.0,0.052338386166201234,0.07224367205859375,0.09420909509916223
dice_focal__mix_weight-0.2__gamma-2,dice_focal,1,43,4,0.21754022133350373,0.21542690643668175,0.2,0.8,2.0,0.0,0.35931091361392414,0.0,0.004615821028910745,0.0,0.0,0.04827827595829834,0.0,0.0,0.04580055673345925,0.06999612781668443,0.07278534692856697
dice_focal__mix_weight-0.2__gamma-2,dice_focal,1,43,5,0.21711570636928082,0.21441942125558852,0.2,0.8,2.0,0.0,0.4968335832114718,0.0,0.003222345926443051,0.0,0.0,0.3142861516168862,0.0,0.0,0.09048245341720013,0.1276146097116446,0.10001118582758298
