experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,1,0.5025454188883305,0.49903101670742034,0.5,0.5,0.5,0.5,2.0,0.0,0.46984713810539225,0.0,0.03777202786141539,0.0,0.0,0.00021425249033963167,0.06897752047340744,0.0,0.06409010432561718,0.09351004765106276,0.10152383319336153
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,2,0.49999807637929916,0.5005706135034561,0.5,0.5,0.5,0.5,2.0,0.0,0.40537294559881326,0.0,0.005710909299998455,0.03463346005328223,0.0,0.0,0.009028141178383263,0.0,0.05052727290338636,0.07478779603981024,0.08914346299041878
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,3,0.4989734954833984,0.4972393444776535,0.5,0.5,0.5,0.5,2.0,0.0,0.5326849419501003,0.0,0.022429375228609348,0.07456838147631233,0.0,0.003494945230220721,0.0,4.127125961194534e-05,0.07035765723831718,0.09831230331501917,0.12593653973100438
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,4,0.49823262295126913,0.4962142863869667,0.5,0.5,0.5,0.5,2.0,0.0,0.5113542350443179,0.0,0.029353462553827932,0.10855269457179074,0.0,0.2708758438536939,0.08897752911449,6.547062742139023e-07,0.11212382442715499,0.16880670933671482,0.12985207843398733
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,5,0.4975936774611473,0.4975512176156044,0.5,0.5,0.5,0.5,2.0,0.0,0.5284605906609552,0.0,0.012470415741220516,0.0707992820424671,0.0,0.1940088389294346,0.0,0.009613771465487453,0.09059476653772944,0.13248653875702782,0.12234605768892856
