experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,bce_weight,tversky_weight,tversky_alpha,tversky_beta,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
bce_tversky__mix_weight-0.8__alpha-0.8__beta-0.2,bce_tversky,0,42,1,0.3012139114588499,0.2775757698714733,0.8,0.19999999999999996,0.8,0.19999999999999996,0.0,0.3032098008977945,0.0,0.004220294416741806,0.0,0.0,0.0,0.0,0.0,0.03415889947939292,0.05263697815088533,0.06148601906290726
bce_tversky__mix_weight-0.8__alpha-0.8__beta-0.2,bce_tversky,0,42,2,0.28629029232263564,0.2788389575779438,0.8,0.19999999999999996,0.8,0.19999999999999996,0.0,0.4265410921194864,0.0,0.00033068364492487627,0.0,0.0,0.0,0.0,0.0,0.04743019730715681,0.06651873189295023,0.08537435515288225
bce_tversky__mix_weight-0.8__alpha-0.8__beta-0.2,bce_tversky,0,42,3,0.2832771109491587,0.27407170832157135,0.8,0.19999999999999996,0.8,0.19999999999999996,0.0,0.5275780880379934,0.0,0.0103196919580773,0.0,0.0,0.0,0.0,0.0,0.05976641999956341,0.07901850332040829,0.10757955599921414
bce_tversky__mix_weight-0.8__alpha-0.8__beta-0.2,bce_tversky,0,42,4,0.2800019011348486,0.27034236484766005,0.8,0.19999999999999996,0.8,0.19999999999999996,0.0,0.43473854028890446,0.0,0.007984715081445598,0.0,0.0,0.14914192797169665,0.0,0.0,0.0657627981491163,0.09793685161030456,0.08854465107407002
bce_tversky__mix_weight-0.8__alpha-0.8__beta-0.2,bce_tversky,0,42,5,0.28016767026484013,0.27365567794442175,0.8,0.19999999999999996,0.8,0.19999999999999996,0.0,0.4753141385250252,0.0,0.006779188974411675,0.0,0.0,0.004159454948987492,0.0,0.0,0.05402808693871382,0.0740120053667236,0.09641866549988737
