experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,0,42,1,0.7763723806142807,0.7750312887430191,0.2,0.8,0.2,0.8,3.0,0.0,0.4508261987518398,0.0,0.11622591351161483,0.03159837062426786,0.0,0.00402493878236822,0.01949417126786601,0.00020917235507449187,0.06915319614367013,0.10418475865696651,0.11973009657754449
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,0,42,2,0.7738132280111313,0.7736590826511383,0.2,0.8,0.2,0.8,3.0,1.7900014991262553e-05,0.3931479942746525,0.0,0.08536396821331003,0.0447854216807549,0.0,0.22061944443596235,0.032555163811435035,0.00017206922842726772,0.08629577351772594,0.13692876417556685,0.1046594768337435
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,0,42,3,0.7732569861412049,0.7723166621923446,0.2,0.8,0.2,0.8,3.0,0.0011728894660073285,0.40509371772138464,0.00020539224261349444,0.09521719552589766,0.05432511982044772,0.0005094614264919923,0.28258884614189456,0.06306657616477518,1.04745460348115e-05,0.10024329700617193,0.15740385897324669,0.1110701773473671
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,0,42,4,0.7725797737240792,0.7727145493030548,0.2,0.8,0.2,0.8,3.0,0.05156492125842373,0.40033148857331863,0.0022098225718985044,0.10004484969372643,0.03833986784410001,0.0,0.2982107631387477,0.023760860991708068,0.010433466193153901,0.10276622669611966,0.16183093605709267,0.10818520573660872
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,0,42,5,0.7716528455018997,0.7737078901529312,0.2,0.8,0.2,0.8,3.0,0.03235601366442488,0.3710871791036089,0.0017966941519638204,0.06276256566984506,0.09673808544652848,0.0,0.257359416231272,0.02630260624754176,0.05776615254512289,0.10068541256225642,0.16354909332945403,0.10647690487438925
