experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,1,0.20896751073002814,0.2063975028693676,0.8,0.19999999999999996,0.5,0.5,3.0,0.0,0.3607069436823784,0.0,0.008976720338273712,6.57433380084151e-05,0.0,0.0,0.0,0.0,0.04108326748429561,0.060900109534728894,0.0739498814717321
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,2,0.2068795337975025,0.20687541258335113,0.8,0.19999999999999996,0.5,0.5,3.0,0.0,0.3633775732024655,0.0,0.0022907292026277705,0.0,0.0,0.0,0.0,0.0,0.0406298113783437,0.05973621383568359,0.07313366048101866
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,3,0.2062853035479784,0.20511778700351715,0.8,0.19999999999999996,0.5,0.5,3.0,0.0,0.5262963845855916,0.0,0.010985324358420962,0.0,0.0,1.0365250704318786e-05,0.0,0.0,0.059699119354968536,0.07904346221354902,0.1074563417888025
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,4,0.20552316665649414,0.2042379924952984,0.8,0.19999999999999996,0.5,0.5,3.0,0.0,0.45144394064158233,0.0,0.01007049680230973,0.005125901845039493,0.0,0.2017081902636689,0.00048261812713685506,0.00010212190999393815,0.07432591884330347,0.10989699823126148,0.09332806785778631
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,5,0.20525597555935382,0.2047594056725502,0.8,0.19999999999999996,0.5,0.5,3.0,0.0,0.5125355205447061,0.0,0.013599079667118562,0.0,0.0,0.08239457206536802,0.0,0.015020286774825248,0.069283273228002,0.09848791911911446,0.10522692004236493
