experiment_name,loss_mode
dice_focal__mix_weight-0.2__gamma-2,dice_focal
dice_focal__mix_weight-0.2__gamma-3,dice_focal
dice_focal__mix_weight-0.5__gamma-1,dice_focal
dice_focal__mix_weight-0.5__gamma-2,dice_focal
dice_focal__mix_weight-0.5__gamma-3,dice_focal
dice_focal__mix_weight-0.8__gamma-1,dice_focal
dice_focal__mix_weight-0.8__gamma-2,dice_focal
dice_focal__mix_weight-0.8__gamma-3,dice_focal
bce_tversky__mix_weight-0.2__alpha-0.2__beta-0.8,bce_tversky
bce_tversky__mix_weight-0.2__alpha-0.5__beta-0.5,bce_tversky
bce_tversky__mix_weight-0.2__alpha-0.8__beta-0.2,bce_tversky
bce_tversky__mix_weight-0.5__alpha-0.2__beta-0.8,bce_tversky
bce_tversky__mix_weight-0.5__alpha-0.5__beta-0.5,bce_tversky
bce_tversky__mix_weight-0.5__alpha-0.8__beta-0.2,bce_tversky
bce_tversky__mix_weight-0.8__alpha-0.2__beta-0.8,bce_tversky
bce_tversky__mix_weight-0.8__alpha-0.5__beta-0.5,bce_tversky
bce_tversky__mix_weight-0.8__alpha-0.8__beta-0.2,bce_tversky
