experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,1,0.20911658671498298,0.2062651953995228,0.8,0.19999999999999996,0.2,0.8,3.0,0.0,0.2016157240411879,0.0,0.0002075514864322532,0.0,0.0,0.0,0.0,0.0,0.022424808391957797,0.03733215487928964,0.04036465510552403
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,2,0.20677115613222122,0.20544574055075646,0.8,0.19999999999999996,0.2,0.8,3.0,0.0,0.39413487898268734,0.0,0.0009291959470778822,0.0,0.0,0.43416334645765825,0.0,0.0,0.09213638015415818,0.13030377276692004,0.07901281498595306
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,3,0.20617169785499573,0.2062676005065441,0.8,0.19999999999999996,0.2,0.8,3.0,0.0,0.20000597959365543,0.0,0.000548187860475904,0.0,0.0,0.0,0.07689503691933823,0.0,0.03082768937482995,0.0530273555790319,0.04011083349082627
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,4,0.20608020971715452,0.20476224705576895,0.8,0.19999999999999996,0.2,0.8,3.0,0.0,0.44611931591248744,0.0,0.003660309037213737,0.0,0.0,0.0,0.0,0.0,0.049975513883300134,0.06936468600997542,0.08995592498994023
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,5,0.20578777354955674,0.2058915759921074,0.8,0.19999999999999996,0.2,0.8,3.0,0.0,0.4843638231086057,0.0,0.00747310626470433,0.0,0.0,2.6958929108385265e-05,3.6188802150648794e-05,0.0,0.0546555641227299,0.07417589682182385,0.09836738587466201
