experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,dice_weight,focal_weight,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
dice_focal__mix_weight-0.5__gamma-2,dice_focal,0,42,1,0.5027902292311192,0.49947803205251695,0.5,0.5,2.0,0.0,0.4840212807514927,0.0,0.03252987856480036,0.0,0.0,0.004713674623982337,0.008879802951228625,0.0,0.05890495965461156,0.08247854349944134,0.1033102318632586
dice_focal__mix_weight-0.5__gamma-2,dice_focal,0,42,2,0.4998440791368485,0.49977627432346344,0.5,0.5,2.0,0.0,0.5062873675169342,0.0,0.0058086440282891305,0.041920112629279985,0.0,0.0,0.03642387161669572,1.1141572023381572e-05,0.06560568192924693,0.0927288027294855,0.11080322483490065
dice_focal__mix_weight-0.5__gamma-2,dice_focal,0,42,3,0.4989640440940857,0.4972035946249962,0.5,0.5,2.0,0.0,0.49118316603400497,8.73482215465352e-07,0.02135816577275367,0.049901886614024275,0.0,0.005334000254195247,0.0,6.554362042640714e-07,0.06308652751037755,0.08958675136082678,0.11248881838059968
dice_focal__mix_weight-0.5__gamma-2,dice_focal,0,42,4,0.49836587315797803,0.4970089161396027,0.5,0.5,2.0,0.0,0.5086451398090287,0.0,0.020034003263082797,0.10553727540221704,0.0,0.2891147266466545,0.06693192155832949,6.554611218151554e-07,0.11002930246004826,0.16428092000082622,0.1268432836948657
dice_focal__mix_weight-0.5__gamma-2,dice_focal,0,42,5,0.49766673186421395,0.4956070148944855,0.5,0.5,2.0,0.0,0.5665361802748456,0.0,0.016248831656901944,0.14298360664640913,0.0,0.3135857975383993,0.0,0.013977689646100576,0.11703690064029518,0.1678321844657662,0.14515372371563134
