experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,1,0.8074991114735603,0.8009063246250152,0.2,0.8,1e-07,0.0,0.0,0.4491975702436595,0.0,0.04994743573524319,0.0,0.0,0.2128259387403495,0.0,0.0,0.07910788274658358,0.11844748998792874,0.09982900119578055,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,2,0.8021393997073174,0.8028238339424133,0.2,0.8,1e-07,0.0,0.0,0.35528530102187006,0.0,0.04622465719514275,0.027665305049925943,0.0,0.25120700454836375,0.0624636987542574,0.011016554935553797,0.08376250238945708,0.13415788538529072,0.08583505265338774,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,3,0.7997525907754898,0.79857774579525,0.2,0.8,1e-07,0.0,0.0,0.4668546313703262,0.0,0.06842681108041368,0.03261617915403417,0.0,0.3138051798351851,0.06168284850715051,0.04304085547335661,0.10960294504671847,0.1671368132739023,0.11357952432095479,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,4,0.7980290093421936,0.7976559108495712,0.2,0.8,1e-07,0.0,1.902821772758308e-05,0.43969243202048075,0.0,0.054501871497703,0.04150349334581249,0.0,0.32505950017154417,0.04889031098661047,0.06793633530269694,0.10862255239361948,0.16722305130603649,0.10713955937279925,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,5,0.7962465068697929,0.7943593858480453,0.2,0.8,1e-07,0.0,0.05917762936778132,0.49246770186256156,0.0,0.04012972727456848,0.049019662921348316,0.0,0.4331515337399825,0.025177506510692796,0.1287120035446317,0.13642619613572962,0.20266248616737703,0.11632341841169566,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,1,0.8075053095817566,0.8017184706926346,0.2,0.8,1e-07,0.0,0.0,0.47796651974280596,0.0,0.12197719923486955,0.0,0.0,0.03246763509970774,0.0641130953050745,1.3109432958032118e-06,0.07739175114730595,0.11640204218985734,0.1199887437955351,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,2,0.8015609921813012,0.799437210559845,0.2,0.8,1e-07,0.0,0.0,0.5131688651709643,0.0,0.03431056395136611,0.0,0.0,0.24427898196246625,0.05049205367556416,0.042005458019758704,0.09825065808667995,0.1460014698299706,0.10949588582446608,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,3,0.7988891285657883,0.7989346626996994,0.2,0.8,1e-07,0.0,0.0,0.5011629908413259,0.0,0.025199745067843494,0.05705966565757489,0.0,0.32907712100076225,0.04423035481339766,0.06354157855296823,0.11336349510376359,0.16935780665239386,0.11668448031334885,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,4,0.7967810481786728,0.7930408473014832,0.2,0.8,1e-07,0.0,0.05868235995693961,0.5475452313875826,0.0,0.025181769426688833,0.07206394269313128,0.0,0.2860509224942497,0.05477580834424672,0.056009563490026816,0.12225662197698504,0.18409420426387224,0.12895818870148054,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,5,0.7948534448742867,0.7928344810009003,0.2,0.8,1e-07,0.0,0.11100124229676289,0.48254404752388425,0.0012176260730384165,0.08734991815458536,0.10662654615709173,0.0,0.2967163301122118,0.04059047768452428,0.07416379132513275,0.1333566643696924,0.20892629076918715,0.13554762758171995,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,1,0.8077018154859543,0.80200414955616,0.2,0.8,1e-07,0.0,0.0,0.3862372168382438,0.0,0.09191064895234255,0.0,0.0,0.3032040678342858,0.0,0.0,0.08681688151387468,0.1323238577164733,0.09562957315811726,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,2,0.8010921038985253,0.7969904627799987,0.2,0.8,1e-07,0.0,0.0,0.534758732114372,0.0,0.02769606062864296,0.02297219558964525,0.0,0.3586499737904582,0.03736668168844825,0.0,0.10904929375684073,0.15507416407865637,0.11708539766653203,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,3,0.7992610177993774,0.7980813226699829,0.2,0.8,1e-07,0.0,0.0,0.5232613345935963,0.0,0.03509075660338867,0.060341361574635224,0.0,0.2431192080851962,0.02126496057070414,0.03848455340196276,0.1023957972032759,0.15283887338053226,0.12373869055432403,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,4,0.7978963055014611,0.7932738662958145,0.2,0.8,1e-07,0.0,0.030981873660503468,0.5283412780474452,0.0,0.11733535892745992,0.06579302934572102,0.0,0.36949691360118475,0.06688734795809062,0.053853602522098955,0.13696548934027822,0.20579825966986248,0.14229393326412526,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,5,0.7972390577197075,0.7987087368965149,0.2,0.8,1e-07,0.0,0.05383870200619468,0.47597323760888555,0.0,0.09776992259016022,0.06312878223371969,0.0,0.24641492012273072,0.041124573227922755,0.0953183849752958,0.11928539141832327,0.18805203519348956,0.12737438848655308,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,1,0.8222613592147827,0.8172602806091308,0.2,0.8,1e-07,0.05,0.0,0.4488014339629051,0.0,0.09708008263043326,0.0,0.0,0.19131907041741666,0.020064402130687307,6.543575468528183e-07,0.08414062705544324,0.12856189165884377,0.10917630331866768,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,2,0.8176601756811142,0.81914275431633,0.2,0.8,1e-07,0.05,0.0,0.3916276369360906,0.0,0.032321551206665904,0.026819397938102434,0.0,0.21831342283123895,0.06512573806061735,0.03957961538211161,0.08597637359498077,0.13716778399272947,0.0901537172161718,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,3,0.8158491159081459,0.8131563540697098,0.2,0.8,1e-07,0.05,0.0,0.45951525690145395,0.0,0.04793161284814729,0.03616829909933843,0.0,0.34586854926168764,0.07598486196364497,0.033872361945780145,0.11103788244667251,0.16796732831465086,0.10872303376978794,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,4,0.8138245674967766,0.8105912531614303,0.2,0.8,1e-07,0.05,0.07344971982610674,0.5415822347927268,0.0,0.08976802488376232,0.08522293721007088,0.0,0.2912117114890753,0.03401337673171521,0.08837404324517877,0.13373578313095957,0.20450446791599314,0.143314639377312,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,5,0.8121900056600571,0.81389129114151,0.2,0.8,1e-07,0.05,0.07948795941122433,0.48674131961510314,0.0,0.09381818426851209,0.06510775469883276,0.0,0.31868995542070955,0.022636651394952793,0.12342156811697767,0.1322114881029236,0.20479810152944183,0.1291334517164896,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,1,0.8223321005702019,0.81533788895607,0.2,0.8,1e-07,0.05,0.0,0.5332180268725136,0.0,0.08604802658042887,0.0,0.0,0.20844491112091407,0.07823335332933411,0.007100856284458855,0.10144946379862774,0.15091231537596347,0.1238532106905885,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,2,0.8174605602622033,0.8141390887498856,0.2,0.8,1e-07,0.05,0.0,0.5038616282219224,0.0,0.07781668370311223,0.0,0.0,0.3141213212112177,0.04019796625480652,0.05415002459041429,0.11001640266460813,0.1636204123910363,0.11633566238500692,,,,,
