experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,bce_weight,tversky_weight,tversky_alpha,tversky_beta,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
bce_tversky__mix_weight-0.2__alpha-0.2__beta-0.8,bce_tversky,2,44,1,0.8037020727992058,0.7968878761529923,0.2,0.8,0.2,0.8,0.0,0.47476462426523813,0.0,0.0874522973736579,0.06353383458646615,0.0,0.08172785900722691,0.009338095335557416,0.002657932793832284,0.07994162704021986,0.12211982389116446,0.12515015124507242
bce_tversky__mix_weight-0.2__alpha-0.2__beta-0.8,bce_tversky,2,44,2,0.7964766045212746,0.7917116997241974,0.2,0.8,0.2,0.8,0.009918631643249846,0.514568613478102,0.0,0.03486934198850722,0.08724579000644149,0.0,0.3765987058903401,0.03722612284725688,0.00223046801725755,0.11807307487457279,0.172265307849273,0.12733674909461015
bce_tversky__mix_weight-0.2__alpha-0.2__beta-0.8,bce_tversky,2,44,3,0.79409966725111,0.7914240558147431,0.2,0.8,0.2,0.8,0.0544340168701302,0.5275945282992003,4.890031060429432e-05,0.016816134207291795,0.0888542074317857,0.0,0.04006513886020537,0.040472819171816735,0.05219062246405309,0.09116404084612081,0.1382694202802954,0.12666275404977642
bce_tversky__mix_weight-0.2__alpha-0.2__beta-0.8,bce_tversky,2,44,4,0.7923109861016273,0.7880091987848282,0.2,0.8,0.2,0.8,0.06539794854161712,0.536371641840847,0.00023066143253805914,0.10261073244776818,0.07909141505496033,0.0,0.32619728612330134,0.07070009175543325,0.06553526868955188,0.13845944954289077,0.2112414784740009,0.1436608901552227
bce_tversky__mix_weight-0.2__alpha-0.2__beta-0.8,bce_tversky,2,44,5,0.7901503816843033,0.787738764166832,0.2,0.8,0.2,0.8,0.09321609962214926,0.5296194715059617,0.0025359724023527146,0.1161077499325725,0.11826473212885637,0.0,0.30808709154530717,0.05620746992960228,0.0678030590057525,0.1435379606747283,0.22134787257770971,0.15330558519394866
