experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,1,43,1,0.20894151537120342,0.20591927006840705,0.8,0.19999999999999996,0.5,0.5,3.0,1.1193620531786523e-06,0.5098244876723158,0.0,0.0024305944942111615,0.0,0.0,0.0,0.0,3.930525344191191e-06,0.05691779245043603,0.07557802457947785,0.10245101643330538
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,1,43,2,0.20674761481583118,0.20568123161792756,0.8,0.19999999999999996,0.5,0.5,3.0,0.0,0.45255551853398607,0.0,0.0046608009987957845,0.0,0.0,0.0,0.058353999490811,0.0,0.05728559100262143,0.08251864336803691,0.09144326390655637
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,1,43,3,0.20607010078430177,0.20530160570144654,0.8,0.19999999999999996,0.5,0.5,3.0,0.0,0.39699042900980314,0.0,0.009241957826522746,0.0,0.0,0.2683048911356992,0.0,0.0,0.07494858644133612,0.11219530211589095,0.08124647736726517
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,1,43,4,0.20567775511741637,0.20731941869854928,0.8,0.19999999999999996,0.5,0.5,3.0,0.0,0.209469948325501,0.0,0.00676109397260286,0.0006003269250242297,0.0,0.052275700612821045,0.008113570506732896,0.0,0.030802293371409113,0.05294092549329884,0.043366273844625616
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,1,43,5,0.20592553235590458,0.20614430630207062,0.8,0.19999999999999996,0.5,0.5,3.0,0.0,0.4914381908635627,0.0,0.005450755835453109,0.09631410593657269,0.0,0.16119147709975995,0.00017263527751120851,0.0004755773662124101,0.08389363804211912,0.12494303258756981,0.11864061052711769
