experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,2,44,1,0.5208492070436478,0.5125731139183044,0.5,0.5,0.8,0.19999999999999996,1.0,0.0,0.4698398918098756,0.0,0.030946817149770465,0.0,0.0,0.0,9.309108963120409e-05,0.0,0.05565331111658636,0.0777254960327826,0.10015734179192921
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,2,44,2,0.514214978069067,0.5088510210514069,0.5,0.5,0.8,0.19999999999999996,1.0,0.0,0.4760230880573521,0.0,0.024458359665180358,0.0,0.0,0.41073772098310535,0.041363327883517896,0.0,0.10584249962101729,0.15049991788838454,0.10009628954450649
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,2,44,3,0.5128582169115543,0.509361859202385,0.5,0.5,0.8,0.19999999999999996,1.0,0.0,0.517986029067543,0.0,0.0116815715924464,0.0,0.0,0.2240976105744789,0.05778666404985034,0.0,0.09017243058714652,0.1312179047130216,0.10593352013199789
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,2,44,4,0.5122503671348095,0.5071202548146247,0.5,0.5,0.8,0.19999999999999996,1.0,0.0,0.5412686539931774,0.0,0.038343600346631944,0.07887748815669278,0.0,0.3439685212404735,0.0,8.421259584507503e-05,0.11139360848142453,0.1593869702452589,0.13169794849930044
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,2,44,5,0.5119829101860524,0.5072550985217095,0.5,0.5,0.8,0.19999999999999996,1.0,0.0,0.5398848912592792,0.0,0.038570878382821236,0.09184785467882182,0.0,0.36810296605104237,0.005680629054922711,0.001199916306164064,0.11614301508145014,0.1661707975889556,0.13406072486418447
