experiment_name,loss_mode,repeat_idx,seed,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,best_miou,last_miou,best_macro_f1,last_macro_f1,best_rare_miou,last_rare_miou,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.2,0.8,1e-05,0.05,0.1346936931274385,0.1346936931274385,0.20876183643795537,0.20876183643795537,0.1374327557518289,0.1374327557518289,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.2,0.8,1e-05,0.05,0.15319515626680077,0.15319515626680077,0.23674787455983282,0.23674787455983282,0.16912402317387767,0.16912402317387767,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.2,0.8,1e-05,0.1,0.1443128208227668,0.1443128208227668,0.2214434515322494,0.2214434515322494,0.14491351308707598,0.12385013990246323,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.2,0.8,1e-05,0.1,0.14881599058859393,0.14881599058859393,0.22648071981360163,0.22648071981360163,0.15515051780611738,0.15515051780611738,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.2,0.8,1e-05,0.1,0.1673640741736727,0.14295075074999886,0.2534332225615163,0.22796594061193629,0.16443692593015052,0.14852646461434932,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.5,0.5,1e-07,0.0,0.10754239265083383,0.09252429862083006,0.15467393191836767,0.13150462038455638,0.12958451180191208,0.12958451180191208,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.5,0.5,1e-07,0.0,0.10588912601537895,0.10381499090378442,0.1484307101082164,0.14541851543602355,0.1107927809564034,0.1107927809564034,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.5,0.5,1e-07,0.0,0.1191400502261321,0.1191400502261321,0.17261225213585862,0.17261225213585862,0.1394199951457984,0.1394199951457984,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.5,0.5,1e-07,0.05,0.10139358328329307,0.08655411083775214,0.14784105577329198,0.12324744657979683,0.11409508605842941,0.10632811484954934,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.5,0.5,1e-07,0.05,0.11070377182867233,0.11070377182867233,0.1506750861154094,0.1506750861154094,0.10872528028398154,0.10872528028398154,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.5,0.5,1e-07,0.05,0.09751678322976019,0.09751678322976019,0.13616461931334178,0.13616461931334178,0.11992590224316424,0.11986778696887213,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.5,0.5,1e-07,0.1,0.11327562178189149,0.10185637951211701,0.16154511883037082,0.14000804626991847,0.11673061676064019,0.1112225183545205,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.5,0.5,1e-07,0.1,0.08878034601784354,0.08124148170140201,0.12724801844691971,0.11720165460238922,0.10874254732989383,0.09594896399012712,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.5,0.5,1e-07,0.1,0.09741589428988362,0.09431361019911744,0.1368353041173609,0.13289281607060693,0.1163242199624452,0.1098974382571519,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.5,0.5,1e-06,0.0,0.10760841389414597,0.08814136506881899,0.1527319357630717,0.12639173634050666,0.10889467485958756,0.10889467485958756,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.5,0.5,1e-06,0.0,0.10776774125894405,0.09743089816048928,0.15834982915116555,0.13520625447706217,0.10879555296650967,0.10600467483546014,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.5,0.5,1e-06,0.0,0.11104210053913868,0.11104210053913868,0.15765974125855967,0.15765974125855967,0.1324187820475672,0.1324187820475672,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.5,0.5,1e-06,0.05,0.10265070993901079,0.09568432160869264,0.14224088697953263,0.13297246830207096,0.11073594848556334,0.11073594848556334,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.5,0.5,1e-06,0.05,0.1108749356303403,0.09994982373317687,0.14949330571283725,0.1401124597045329,0.11346598125910712,0.10884256343232106,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.5,0.5,1e-06,0.05,0.11095956356651923,0.10779155437715485,0.15351994168292843,0.1514322828309825,0.12552119041339965,0.12552119041339965,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.5,0.5,1e-06,0.1,0.1122417619632098,0.1122417619632098,0.1563262464012581,0.1563262464012581,0.1158078077425575,0.1158078077425575,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.5,0.5,1e-06,0.1,0.1091577134276742,0.1091577134276742,0.14956801132228298,0.14956801132228298,0.1167217020799091,0.1167217020799091,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.5,0.5,1e-06,0.1,0.10782908018689234,0.10782908018689234,0.14793495737593412,0.14793495737593412,0.11877897703842015,0.11877897703842015,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.5,0.5,1e-05,0.0,0.10687653255596924,0.0882447172190813,0.14937830875097072,0.12763996035566766,0.12472115966987365,0.12472115966987365,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.5,0.5,1e-05,0.0,0.1099825383774416,0.1099825383774416,0.15411723131871743,0.15411723131871743,0.11486671247462574,0.11486671247462574,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.5,0.5,1e-05,0.0,0.13160855311276326,0.13160855311276326,0.18434490859693034,0.18434490859693034,0.12843703386166477,0.12843703386166477,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.5,0.5,1e-05,0.05,0.09287462064894217,0.09287462064894217,0.1288848302141312,0.1288848302141312,0.11243808746634543,0.11243808746634543,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.5,0.5,1e-05,0.05,0.10214070031939408,0.09651875433256714,0.14149285171133266,0.13324665100361074,0.11219835424997908,0.10949749405222162,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.5,0.5,1e-05,0.05,0.1055184106318411,0.1055184106318411,0.1448422206663825,0.1448422206663825,0.11892114571316173,0.11892114571316173,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.5,0.5,1e-05,0.1,0.11096429162217368,0.11096429162217368,0.1486299310530679,0.1486299310530679,0.11421848643057211,0.11421848643057211,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.5,0.5,1e-05,0.1,0.0965626888897136,0.0965626888897136,0.13630100773865342,0.13630100773865342,0.10801102726881877,0.10801102726881877,5,,,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.5,0.5,1e-05,0.1,0.10911042911784796,0.10911042911784796,0.15736369259689004,0.15736369259689004,0.12353101135063656,0.12353101135063656,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.8,0.19999999999999996,1e-07,0.0,0.061297835252087735,0.06123494850227667,0.08028281051792759,0.07981434984763837,0.11033610345375792,0.110222907304098,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.8,0.19999999999999996,1e-07,0.0,0.09537324304284661,0.09152351818017908,0.1334107994513626,0.12880588122643044,0.10322652241235808,0.09951866719636768,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.8,0.19999999999999996,1e-07,0.0,0.10485748770783382,0.10485748770783382,0.14276431669896114,0.14276431669896114,0.11420623899919191,0.11420623899919191,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.8,0.19999999999999996,1e-07,0.05,0.0605939191181856,0.0605939191181856,0.08211004531774836,0.08211004531774836,0.10831907900368212,0.10831907900368212,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.8,0.19999999999999996,1e-07,0.05,0.061005079389295475,0.061005079389295475,0.07906348850285276,0.07906348850285276,0.10979852361965718,0.10979852361965718,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.8,0.19999999999999996,1e-07,0.05,0.08383657022073668,0.08383657022073668,0.11920928334026369,0.11920928334026369,0.10964174037686511,0.10574926110636478,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.8,0.19999999999999996,1e-07,0.1,0.0778907517582167,0.0778907517582167,0.10719520986872776,0.10719520986872776,0.11376017982482489,0.11376017982482489,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.8,0.19999999999999996,1e-07,0.1,0.0811485271645274,0.0811485271645274,0.11748374930359229,0.11748374930359229,0.10503039106714931,0.096665388775007,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.8,0.19999999999999996,1e-07,0.1,0.09989648015213246,0.09989648015213246,0.13829998532987853,0.13829998532987853,0.11237816359251754,0.11237816359251754,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.8,0.19999999999999996,1e-06,0.0,0.060337970580953595,0.058101875211029795,0.07953544301183338,0.07694508294230117,0.10860834704571647,0.10453549247356819,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.8,0.19999999999999996,1e-06,0.0,0.0619257986471227,0.0619257986471227,0.08498930308615466,0.08498930308615466,0.1027300231023408,0.1027300231023408,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.8,0.19999999999999996,1e-06,0.0,0.06408696885838716,0.06408696885838716,0.08393677035182721,0.08393677035182721,0.1153565439450969,0.1153565439450969,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.8,0.19999999999999996,1e-06,0.05,0.06330380757277349,0.060467522749974606,0.08237160464352354,0.07943623913150163,0.11394685363099229,0.10884154094995428,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.8,0.19999999999999996,1e-06,0.05,0.0720019507357004,0.0720019507357004,0.1019278226087157,0.1019278226087157,0.11158991327668315,0.10326422608950918,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.8,0.19999999999999996,1e-06,0.05,0.06314375649275086,0.06314375649275086,0.08165711181476815,0.08165711181476815,0.11365876168695155,0.11365876168695155,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.8,0.19999999999999996,1e-06,0.1,0.06452336123745692,0.06452336123745692,0.08324600914974724,0.08324600914974724,0.11614205022742245,0.11614205022742245,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.8,0.19999999999999996,1e-06,0.1,0.09929163750006045,0.09929163750006045,0.13701350630376963,0.13701350630376963,0.09979998519144531,0.09979998519144531,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.8,0.19999999999999996,1e-06,0.1,0.10540243503096806,0.10540243503096806,0.14471281551015444,0.14471281551015444,0.11742809611516544,0.11742809611516544,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.8,0.19999999999999996,1e-05,0.0,0.05944655073645163,0.059304195407350845,0.08260373640987975,0.07861767436182486,0.10700379132561293,0.10674298945292086,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.8,0.19999999999999996,1e-05,0.0,0.09947255106092702,0.09947255106092702,0.13765879294344666,0.13765879294344666,0.10388726026216262,0.10388726026216262,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.8,0.19999999999999996,1e-05,0.0,0.061784855134745346,0.061784855134745346,0.08102765359215537,0.08102765359215537,0.11121273924254163,0.11121273924254163,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.8,0.19999999999999996,1e-05,0.05,0.05881479741802699,0.05881479741802699,0.07784606033235206,0.07784606033235206,0.10586663535244858,0.10586663535244858,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.8,0.19999999999999996,1e-05,0.05,0.06283421147723228,0.06283421147723228,0.08703889442891947,0.08703889442891947,0.10237061574836079,0.10188380164780397,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.8,0.19999999999999996,1e-05,0.05,0.09914447971286844,0.09914447971286844,0.1368919539015966,0.1368919539015966,0.108863765572904,0.108863765572904,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.8,0.19999999999999996,1e-05,0.1,0.057010515815247534,0.057010515815247534,0.07639833641152254,0.07639833641152254,0.10261892846744555,0.10261892846744555,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.8,0.19999999999999996,1e-05,0.1,0.09832556523769434,0.09832556523769434,0.13592905817799952,0.13592905817799952,0.10161292831191597,0.10161292831191597,5,,,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.8,0.19999999999999996,1e-05,0.1,0.06102611015318143,0.06102611015318143,0.08015369701101838,0.08015369701101838,0.10984699827572657,0.10984699827572657,5,,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-07,bce_dice,0,42,0.2,0.8,1e-07,,0.1417403591876555,0.1417403591876555,0.20864478693148472,0.20864478693148472,0.1417751991115867,0.11557427321850042,5,,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-07,bce_dice,1,43,0.2,0.8,1e-07,,0.13303997916805363,0.13303997916805363,0.19903453615330463,0.19903453615330463,0.13555500921379393,0.13268774431838476,5,,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-07,bce_dice,2,44,0.2,0.8,1e-07,,0.12778792508684336,0.12348565944417864,0.1951871110992545,0.1951871110992545,0.1460502067923847,0.13201590031371924,5,,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-06,bce_dice,0,42,0.2,0.8,1e-06,,0.12373853348455088,0.12373853348455088,0.1883207355541084,0.1883207355541084,0.12878423297116692,0.11176214661205519,5,,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-06,bce_dice,1,43,0.2,0.8,1e-06,,0.13432941309387839,0.13432941309387839,0.20202513963168156,0.20202513963168156,0.15090223256276736,0.15090223256276736,5,,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-06,bce_dice,2,44,0.2,0.8,1e-06,,0.13276091596545114,0.13276091596545114,0.20635018709822228,0.20635018709822228,0.1426517454067681,0.1426517454067681,5,,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-05,bce_dice,0,42,0.2,0.8,1e-05,,0.12311897685595888,0.12311897685595888,0.1890941068996681,0.1890941068996681,0.12535313747307072,0.102913430866472,5,,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-05,bce_dice,1,43,0.2,0.8,1e-05,,0.12967419545554673,0.12967419545554673,0.19689364843176693,0.19689364843176693,0.13858935013175883,0.13858935013175883,5,,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-05,bce_dice,2,44,0.2,0.8,1e-05,,0.1583756504099713,0.14364817470351496,0.24175150159069692,0.22163167313299292,0.1594572038600549,0.15689806918543542,5,,,,,
bce_dice__mix_weight-0.5__dice_smooth-1e-07,bce_dice,0,42,0.5,0.5,1e-07,,0.11441456323658741,0.11441456323658741,0.16441619375237573,0.16441619375237573,0.13003176356307186,0.13003176356307186,5,,,,,
bce_dice__mix_weight-0.5__dice_smooth-1e-07,bce_dice,1,43,0.5,0.5,1e-07,,0.10120692435014994,0.09174780510624445,0.13991794668764224,0.12853163795725708,0.10441399550318135,0.10441399550318135,5,,,,,
bce_dice__mix_weight-0.5__dice_smooth-1e-07,bce_dice,2,44,0.5,0.5,1e-07,,0.11321611294144213,0.11321611294144213,0.16739827210893246,0.16739827210893246,0.13155844435461644,0.13155844435461644,5,,,,,
bce_dice__mix_weight-0.5__dice_smooth-1e-06,bce_dice,0,42,0.5,0.5,1e-06,,0.1172997538066934,0.1017235096690587,0.17310528426596028,0.14797755575073906,0.12962840620112934,0.12962840620112934,5,,,,,
bce_dice__mix_weight-0.5__dice_smooth-1e-06,bce_dice,1,43,0.5,0.5,1e-06,,0.10237117541569007,0.10237117541569007,0.1430516874637089,0.1430516874637089,0.11114377319052963,0.10976496320220852,5,,,,,
