experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,bce_weight,tversky_weight,tversky_alpha,tversky_beta,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
bce_tversky__mix_weight-0.5__alpha-0.5__beta-0.5,bce_tversky,2,44,1,0.555950834274292,0.5391532689929008,0.5,0.5,0.5,0.5,0.0,0.5025800836398668,0.0,0.0020342772116025685,0.0,0.0,0.0,0.0,0.0,0.05606826231682993,0.0747796034432638,0.10092287217029387
bce_tversky__mix_weight-0.5__alpha-0.5__beta-0.5,bce_tversky,2,44,2,0.5442335550785065,0.5352448472380638,0.5,0.5,0.5,0.5,0.0,0.5199135928003894,0.0,0.006340104170357206,0.0,0.0,0.1525177095649733,0.0,0.0,0.07541904517063555,0.10682275472070224,0.10525073939414933
bce_tversky__mix_weight-0.5__alpha-0.5__beta-0.5,bce_tversky,2,44,3,0.5416409472227096,0.5351176630854607,0.5,0.5,0.5,0.5,0.0,0.49478565755150833,0.0,0.010149421499580747,0.0,0.0,0.0001249667733371997,0.07672421830633744,0.0,0.0646426960145293,0.09165271898199728,0.10098701581021781
bce_tversky__mix_weight-0.5__alpha-0.5__beta-0.5,bce_tversky,2,44,4,0.5408277207612991,0.5323574312329292,0.5,0.5,0.5,0.5,0.0,0.5577845261681965,0.0,0.023452097508212033,0.0,0.0,0.010420946527081587,0.0,0.016671370553180118,0.06759210452851892,0.09059752421917894,0.11624732473528172
bce_tversky__mix_weight-0.5__alpha-0.5__beta-0.5,bce_tversky,2,44,5,0.5391313251852989,0.5315563725829124,0.5,0.5,0.5,0.5,0.058301231498691486,0.5821963342623575,0.0,0.02831676529267416,0.04454401194810042,0.0,0.3610509956411117,1.0339016345984838e-05,0.038315599827669494,0.12363725305410564,0.17676084430252784,0.1310114223006264
