experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,1,0.49299274680018423,0.4914497807621956,0.5,0.5,0.2,0.8,3.0,0.0,0.453636136890668,0.0,0.023625765858678267,0.0,0.0,0.0,1.0337306304723111e-05,0.0,0.05303024889507233,0.07448016571122318,0.09545238054986925
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,2,0.49113082242012024,0.49022345125675204,0.5,0.5,0.2,0.8,3.0,0.0,0.4975175193733797,0.0,0.014671951675325142,0.0031728385037693052,0.0,0.23300830443687587,0.0,0.0,0.08315229044326111,0.11973916344639932,0.10307246191049482
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,3,0.4904846428334713,0.49054631918668745,0.5,0.5,0.2,0.8,3.0,0.0,0.45307947255378883,0.0,0.008359453179994022,0.01021006220611937,0.0,0.3087661614027341,0.04772565081627269,9.83259676258474e-07,0.09201575371317613,0.1359283631645518,0.09432979758798045
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,4,0.4901030346751213,0.4893614289164543,0.5,0.5,0.2,0.8,3.0,0.0,0.5320158276527415,0.0,0.02627994043524502,0.04918442399900053,0.0,0.2673544947545373,0.0001240239572944173,0.00017362230860990747,0.09723692590082542,0.14022296138362011,0.12149603841739742
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,2,44,5,0.4896401173174381,0.4890864644050598,0.5,0.5,0.2,0.8,3.0,0.0,0.5256615056999119,0.0,0.041669495661126446,0.072796733059991,0.0,0.4059196109035299,0.0644164941888234,9.832229392466546e-07,0.12338498030403576,0.1781437953569069,0.12802554688420587
