experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,2,44,1,0.5027750815153122,0.4988062033057213,0.5,0.5,0.5,0.5,2.0,0.0,0.4241591005905298,0.0,0.03907665609772391,0.00016290866007627076,0.0,0.0018948169436961775,0.0,0.00010527561614025589,0.05171097310090738,0.0750217194310598,0.09267973306966601
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,2,44,2,0.49947728019952775,0.49714565300941466,0.5,0.5,0.5,0.5,2.0,0.0,0.5322452307675163,0.0,0.01036783423984865,0.010025479920085699,0.0,0.36344867527105007,0.0,0.0,0.10178746891094452,0.140914685667688,0.11052770898549014
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,2,44,3,0.4984760645329952,0.4973737509250641,0.5,0.5,0.5,0.5,2.0,0.0,0.4911136387056003,0.0,0.012221263815691278,0.028138482436322415,0.0,0.2799473090124118,0.08256498756969417,0.00012980775047092093,0.09934616547668788,0.14753732101415148,0.10629467699152281
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,2,44,4,0.4978511117398739,0.49553143310546877,0.5,0.5,0.5,0.5,2.0,0.0,0.5584758984672948,0.0,0.08159426151225929,0.07789190540234946,0.0,0.012464850165788478,4.10730329867796e-05,2.914008588794753e-05,0.08116634762961854,0.11520692062940831,0.14359241307638074
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,2,44,5,0.4971730887889862,0.4955457918643951,0.5,0.5,0.5,0.5,2.0,0.0,0.5664986854798061,0.0,0.047719715516919656,0.08452295492613894,0.0,0.36902061189913615,0.0,0.0,0.11864021864688896,0.1677036347989732,0.13974827118457295
