experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,1,0.7764411152005196,0.7753459272384644,0.2,0.8,0.5,0.5,3.0,0.0,0.3541081798138832,0.0,0.14256694065569347,0.038477604629183024,0.0,0.18431457018833988,0.03226311214540321,0.00021146581806098056,0.08354909702784043,0.13565159060066245,0.10703054501975193
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,2,0.7740665509104728,0.7748384855985642,0.2,0.8,0.5,0.5,3.0,0.0,0.32042320368572125,3.4071252599025037e-05,0.11179197028264291,0.029288740873646482,0.001747876483395168,0.21165160913630832,0.022548868451198755,0.0009923764270573148,0.07760874628806325,0.12692793329297575,0.09265717251560097
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,3,0.7733125354647636,0.7725155564546585,0.2,0.8,0.5,0.5,3.0,0.0,0.3448547842359187,0.04204005071576149,0.13380406516086557,0.04046208651542549,0.0,0.33067868141610096,0.03558544323798207,0.00033463565581376566,0.10308441632642978,0.1637493746302643,0.11223219732559424
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,4,0.7725801134705543,0.7725744482278823,0.2,0.8,0.5,0.5,3.0,0.025687879480037774,0.42479167699889375,0.006147608405696598,0.14476854762688837,0.08866849444658559,0.00016964487672472197,0.21563360212491423,0.031086429097652787,0.043395421443091886,0.10892770050005396,0.17477742489833303,0.1329091944709578
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,0,42,5,0.7712678897380829,0.7700173344612121,0.2,0.8,0.5,0.5,3.0,0.07007952305776453,0.3311773535109068,0.01833344126736925,0.18087335755505385,0.08931727810889754,0.0,0.34900145736321103,0.04169026002387146,0.11754377553921541,0.13311293849181,0.21585662430727837,0.1239402860884455
