experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,bce_weight,tversky_weight,tversky_alpha,tversky_beta,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
bce_tversky__mix_weight-0.2__alpha-0.8__beta-0.2,bce_tversky,1,43,1,0.8079923552274704,0.8002081451416015,0.2,0.8,0.8,0.19999999999999996,0.0,0.45419076162571104,0.0,0.09858912782557726,0.0,0.0,0.0,0.06068156185730395,0.006788550632286276,0.06891666688231984,0.10356147623540443,0.11055597789025766
bce_tversky__mix_weight-0.2__alpha-0.8__beta-0.2,bce_tversky,1,43,2,0.8013311199545861,0.7972393281459809,0.2,0.8,0.8,0.19999999999999996,0.0,0.4529306351329514,0.0,0.08422741947519813,0.0,0.0,0.33571549733383715,0.05554761015633897,0.04446906050434748,0.10809891362251925,0.16354621172136355,0.10743161092162992
bce_tversky__mix_weight-0.2__alpha-0.8__beta-0.2,bce_tversky,1,43,3,0.798254147708416,0.7978581531047821,0.2,0.8,0.8,0.19999999999999996,0.0,0.4352792050814064,0.0,0.09530834389650107,0.04496214985694126,0.0,0.3609673039761977,0.03735461611233746,0.12161237220326276,0.1217204434585163,0.1873285417828377,0.11510993976696975
bce_tversky__mix_weight-0.2__alpha-0.8__beta-0.2,bce_tversky,1,43,4,0.7965191143751145,0.7919436818361283,0.2,0.8,0.8,0.19999999999999996,0.058800916727338844,0.5147691379482102,8.73634836363827e-06,0.08389107798336955,0.04560245718469775,0.0,0.2668352263886728,0.04466150122932715,0.08404605901466077,0.12206834586940454,0.1882894699730308,0.12885428189292825
bce_tversky__mix_weight-0.2__alpha-0.8__beta-0.2,bce_tversky,1,43,5,0.7940556680560112,0.7902020200490951,0.2,0.8,0.8,0.19999999999999996,0.06969475926031593,0.5373099796788097,0.0010045926700089853,0.1500886903725174,0.09539999391181259,0.0,0.2732971688050468,0.03767899806735349,0.10865660185147323,0.14145897606859312,0.21827100859151605,0.1567606513266297
