experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,dice_weight,focal_weight,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
dice_focal__mix_weight-0.2__gamma-1,dice_focal,1,43,1,0.24818765488266945,0.23663630050420761,0.2,0.8,1.0,0.0,0.45967329956061037,0.0,0.000430991928263334,0.0,0.0,0.0,0.0,0.0,0.0511226990543193,0.07007688883164251,0.09202085829777475
dice_focal__mix_weight-0.2__gamma-1,dice_focal,1,43,2,0.2408164469152689,0.23378609949350357,0.2,0.8,1.0,0.0,0.4903430226918587,0.0,0.0017151849079987914,0.0,0.0,9.39924971871363e-05,0.016878872892067694,0.0,0.05655900810990137,0.07720410440195301,0.09841164151997149
dice_focal__mix_weight-0.2__gamma-1,dice_focal,1,43,3,0.23884062157571315,0.23320985612273215,0.2,0.8,1.0,0.0,0.5016503762269455,0.0,0.006988270895966515,0.0,0.0,0.21481874564691056,0.0,0.0,0.08038415475220252,0.1150750518805792,0.10172772942458241
dice_focal__mix_weight-0.2__gamma-1,dice_focal,1,43,4,0.23819741451740264,0.2332915024161339,0.2,0.8,1.0,0.0,0.23100693981885267,0.0,0.0024893618866752083,0.0,0.0,0.16044078938395864,0.0,0.0,0.043770787898831834,0.0729774585633822,0.046699260341105574
dice_focal__mix_weight-0.2__gamma-1,dice_focal,1,43,5,0.23776519568264484,0.23046388971805573,0.2,0.8,1.0,0.0,0.5231889657369746,0.0,0.0031929724760436625,0.0,0.0,0.2464438140588312,5.1640355905332875e-06,3.277404426790159e-07,0.08587013822754253,0.12097521959943841,0.10527638764260365
