experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,bce_weight,tversky_weight,tversky_alpha,tversky_beta,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
bce_tversky__mix_weight-0.2__alpha-0.5__beta-0.5,bce_tversky,2,44,1,0.8065988920331001,0.7981088087558746,0.2,0.8,0.5,0.5,0.0,0.49755497842892443,0.0,0.08300280306355448,0.0,0.0,0.41468016738903,0.02947927901341239,0.0,0.11385746976610239,0.16236618196084868,0.11611155629849579
bce_tversky__mix_weight-0.2__alpha-0.5__beta-0.5,bce_tversky,2,44,2,0.8001153751015663,0.7990521194934845,0.2,0.8,0.5,0.5,0.0,0.45137210083159623,0.0,0.04414462948357592,0.05188808560309941,0.0,0.26071062758462243,0.035959217044197564,0.003141602489962105,0.09413514033745042,0.14383177184826065,0.10948096318365433
bce_tversky__mix_weight-0.2__alpha-0.5__beta-0.5,bce_tversky,2,44,3,0.7974228969812394,0.7932657313346863,0.2,0.8,0.5,0.5,0.023671976732726207,0.532480912206087,0.0013506554326975695,0.040112952524381754,0.0832307354072771,0.0,0.3973630652406905,0.03436371882317054,0.07837617727573638,0.1323277992936408,0.19502368984112048,0.13143505111408865
bce_tversky__mix_weight-0.2__alpha-0.5__beta-0.5,bce_tversky,2,44,4,0.795706689953804,0.7873186722993851,0.2,0.8,0.5,0.5,0.09719498235357475,0.5527978317284071,0.002736115572467528,0.19927181121517853,0.07188655536714823,0.0,0.3694944624057888,0.05365659148064495,0.09903027182743987,0.16067429132784997,0.24252790640125824,0.1653384627766403
bce_tversky__mix_weight-0.2__alpha-0.5__beta-0.5,bce_tversky,2,44,5,0.7929574534893036,0.7895744254589081,0.2,0.8,0.5,0.5,0.10533718450487288,0.48575165235615797,0.0008945124171992072,0.17871367309850464,0.12919772748080932,0.0,0.26930157013482914,0.03152729267774046,0.07974154141632914,0.14227390600960474,0.22349927815736084,0.15891151307053422
