experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,1,43,1,0.7760027857422829,0.7789036376476288,0.2,0.8,0.2,0.8,3.0,0.0,0.3473153557099893,0.0,0.08842911762969077,0.029331519782373885,0.0,0.11247148789023358,0.0012571736090587072,0.00038784644882517257,0.06435472234113015,0.1045038963630381,0.09301519862441078
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,1,43,2,0.7740026203393936,0.7734089479446411,0.2,0.8,0.2,0.8,3.0,0.0,0.4487794589599049,0.0,0.10483191947763926,0.058972846612543095,0.0,0.26896371401179514,0.03091430935783084,0.0026611930320030956,0.10168038238352403,0.15665206603359874,0.12251684501001744
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,1,43,3,0.7723319916725159,0.773043587565422,0.2,0.8,0.2,0.8,3.0,0.0,0.35204445823052377,0.0005019586827977803,0.07767522482914054,0.06520036431687595,0.0,0.33586408632002795,0.021345616115399955,0.00887870637319466,0.0957233794297734,0.1500640265572365,0.09908440121186761
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,1,43,4,0.7717614046931267,0.7720033768415451,0.2,0.8,0.2,0.8,3.0,0.0004122909634535904,0.4675270820136779,0.002896927920940577,0.07647784813814583,0.03642281868417974,0.021680822530174223,0.2839938268616904,0.03382980688386285,0.008990953896876925,0.10358137532144467,0.15824533761773016,0.12100109985742365
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,1,43,5,0.7722229820489883,0.7714452171325683,0.2,0.8,0.2,0.8,3.0,0.03692249372739846,0.4370878169142786,0.008855914728396263,0.07825690256864964,0.06427374727115803,0.0,0.22854584119537458,0.03555300906988627,0.0007921864104049515,0.09892087909839409,0.15614602284700393,0.11769487629649653
