experiment_name,loss_mode,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,best_miou_mean,best_miou_std,last_miou_mean,last_miou_std,best_macro_f1_mean,best_macro_f1_std,last_macro_f1_mean,last_macro_f1_std,best_rare_miou_mean,best_rare_miou_std,last_rare_miou_mean,last_rare_miou_std,repeats
dice_focal__mix_weight-0.8__gamma-1,dice_focal,,0.8,,,5,0.19999999999999996,,,,1.0,0.13285829291350712,0.004889912809030154,0.13285829291350712,0.004889912809030154,0.20484194426225286,0.005407383478357588,0.20484194426225286,0.005407383478357588,0.13512382953861576,0.008214181986283743,0.13122994766604001,0.013692377053328994,3
dice_focal__mix_weight-0.8__gamma-2,dice_focal,,0.8,,,5,0.19999999999999996,,,,2.0,0.13049033311973582,0.005135953210126102,0.13049033311973582,0.005135953210126102,0.2052935595387728,0.007280121609901673,0.2052935595387728,0.007280121609901673,0.14156733529382737,0.005464870953784473,0.13574503102208288,0.013697226296950853,3
bce_dice__mix_weight-0.2__dice_smooth-1e-06,bce_dice,0.2,0.8,1e-06,,5,,,,,,0.1302762875146268,0.004667027364308148,0.1302762875146268,0.004667027364308148,0.1988986874280041,0.007685324034886127,0.1988986874280041,0.007685324034886127,0.14077940364690078,0.00912617934781825,0.1351053748605302,0.01684631242286432,3
focal_tversky_mix__mix_weight-0.2__alpha-0.8__gamma-3__beta-0.2,focal_tversky_mix,,,,,5,0.2,0.8,0.8,0.19999999999999996,3.0,0.1288268192660534,0.0025751233251879472,0.12408887749049773,0.006455080212742543,0.20746309456948842,0.003682854375460455,0.20173206023267665,0.010508083462964822,0.13641708283835616,0.004609547121826347,0.1323394623980834,0.005339713101877837,3
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-2__beta-0.2,focal_tversky_mix,,,,,5,0.5,0.5,0.8,0.19999999999999996,2.0,0.12863332945049477,0.017285742114209017,0.12420871485409944,0.012184683516025014,0.19131782013332063,0.028494637785997923,0.18343569829549725,0.0197355422991863,0.14704096185856513,0.010985206380840083,0.13321762010810584,0.008579564252208618,3
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,,,,,5,0.2,0.8,0.5,0.5,2.0,0.12778411207119078,0.006177195761829966,0.11932120918360271,0.012019433085679017,0.19402443054025698,0.009678817544229824,0.1865412598947983,0.017534215875465775,0.13580606410148052,0.010325871317962546,0.12668753061248758,0.017635598549939444,3
dice_focal__mix_weight-0.8__gamma-3,dice_focal,,0.8,,,5,0.19999999999999996,,,,3.0,0.12641441630174674,0.008000273977181541,0.11952301012828769,0.013378428237011542,0.19645784075554373,0.014311286950791998,0.19012148638171067,0.019617318661979945,0.13766674334779894,0.006296124113027308,0.12541479227626132,0.01726749926377546,3
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0.2,0.8,1e-07,0.1,5,,,,,,0.12572596070217487,0.005073594122422384,0.12572596070217487,0.005073594122422384,0.19314401643688991,0.013217013376896639,0.19314401643688991,0.013217013376896639,0.13583294685230277,0.0051112601276879,0.1256480786169883,0.017944356205624092,3
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,,,,,5,0.2,0.8,0.5,0.5,3.0,0.12565000939424845,0.01158486313505444,0.1195679739433253,0.009996840227995912,0.19649096031742355,0.01910025078792709,0.19113535789664735,0.01874083162581545,0.1367576725761961,0.011381747265563824,0.12546189430175148,0.0013891808920732229,3
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,0.2,0.8,1e-05,0.0,5,,,,,,0.12512937262396528,0.007894199554672571,0.12232236261423786,0.011164157970240621,0.18945050939549576,0.015749584113143172,0.18860127809261343,0.016851970326808772,0.1390220445243746,0.007940352235959826,0.12996006309035693,0.013692249094357149,3
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-1__beta-0.8,focal_tversky_mix,,,,,5,0.2,0.8,0.2,0.8,1.0,0.12351259644993355,0.013034612016212515,0.12232995746532209,0.014313790341604557,0.18871244046215976,0.023718250100074022,0.18871244046215976,0.023718250100074022,0.13448501298644155,0.017601635806776945,0.1322665415837961,0.01926984223859515,3
dice_focal__mix_weight-0.5__gamma-1,dice_focal,,0.5,,,5,0.5,,,,1.0,0.12224265152332336,0.008320180957029275,0.1087890805340449,0.02465454782239167,0.17970288569316553,0.010680932807690351,0.162650983027378,0.029402350994443435,0.13342991204504664,0.011744726918927383,0.1281936763664324,0.018031444779434837,3
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,,,,,5,0.5,0.5,0.5,0.5,3.0,0.11766141418030733,0.0022807966556918705,0.11114374429999639,0.010347541298177344,0.17368945723227394,0.0057831159427232225,0.16388838193762845,0.01620472953669217,0.13372312346879278,0.0038557379085151157,0.13125896859128766,0.006404942945107935,3
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-2__beta-0.8,focal_tversky_mix,,,,,5,0.2,0.8,0.2,0.8,2.0,0.11762156610294006,0.007176618207760926,0.11461811487331196,0.0031047081094288807,0.17675641292712643,0.011066950906532473,0.1750343014370748,0.008676397685634416,0.12246716824956237,0.005752257542529881,0.1191375277383092,0.007195273617309689,3
dice_focal__mix_weight-0.5__gamma-3,dice_focal,,0.5,,,5,0.5,,,,3.0,0.11671504570524978,0.008866766417503074,0.11453668706034535,0.008026558141382504,0.1695587833954009,0.012766630938307289,0.16650548038617732,0.012051913740594828,0.1261264324628642,0.0017436529313976114,0.12454707075429618,0.002213192186313534,3
bce_tversky__mix_weight-0.5__alpha-0.8__beta-0.2,bce_tversky,0.5,,,,5,,0.5,0.8,0.19999999999999996,,0.1165328762811748,0.003938292217348161,0.10358482911560075,0.022150600106450834,0.16345296686382219,0.007866436653231732,0.14824640744445455,0.028658035941789704,0.12529114371393316,0.01016889047990649,0.11820291648779331,0.01742297227200708,3
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,,,,,5,0.5,0.5,0.8,0.19999999999999996,1.0,0.11640161969514058,0.0029342508933516177,0.1049403396398465,0.013643712296934264,0.17018284415623033,0.005439302674703319,0.15401605840896157,0.01742623022248334,0.12954783179647295,0.003603385789765278,0.12311414914712326,0.00857354872442343,3
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,0.5,0.5,1e-05,0.0,5,,,,,,0.11615587468205803,0.011000023365212821,0.10994526956976204,0.017703231486116962,0.1626134828888728,0.015487747722084317,0.15536736675710514,0.023166569559342827,0.12267496866872139,0.005725881524375652,0.12267496866872139,0.005725881524375652,3
dice_focal__mix_weight-0.5__gamma-2,dice_focal,,0.5,,,5,0.5,,,,2.0,0.11286000358729352,0.005483145327631173,0.11286000358729352,0.005483145327631173,0.16237399172348535,0.008098072441695492,0.16237399172348535,0.008098072441695492,0.13409178646429903,0.007847722613485299,0.13406055466117128,0.007866739391233831,3
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,,,,,5,0.5,0.5,0.5,0.5,2.0,0.11238788533594224,0.005000693497145784,0.10521153270613372,0.011480287364936708,0.1637928766144158,0.006326686099373635,0.1516861530878535,0.014552329467911062,0.1297459678560456,0.011349142669507713,0.12596258031042343,0.01010835449352322,3
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0.5,0.5,1e-07,0.0,5,,,,,,0.11085718963078163,0.005895628740769681,0.10515977991691554,0.010907364530327299,0.15857229805414755,0.010249705283733881,0.14984512931881286,0.017071526584748174,0.12659909596803795,0.011876135141176592,0.12659909596803795,0.011876135141176592,3
bce_dice__mix_weight-0.5__dice_smooth-1e-06,bce_dice,0.5,0.5,1e-06,,5,,,,,,0.11062890428134854,0.006197002109871005,0.10543682290213698,0.004800735989233946,0.15873402816581691,0.012304304864916328,0.1503581186607432,0.0071388344388347786,0.12547714940218133,0.010429991408914839,0.12501754607274096,0.01106266360732784,3
focal_tversky_mix__mix_weight-0.5__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix,,,,,5,0.5,0.5,0.5,0.5,1.0,0.1104765068931582,0.018026601096344134,0.10985396776758065,0.018795449105994386,0.16218238200900528,0.025569629922285387,0.16012058594905307,0.027913954134166623,0.12094475361983974,0.010292022219657521,0.12094475361983974,0.010292022219657521,3
bce_tversky__mix_weight-0.5__alpha-0.5__beta-0.5,bce_tversky,0.5,,,,5,,0.5,0.5,0.5,,0.10980311000368119,0.009806312678578967,0.09954226854368427,0.02158590200756613,0.1572335067440043,0.013875738497371474,0.1416842566160829,0.0321235229137566,0.12326931641846194,0.006366333407062961,0.12326931641846194,0.006366333407062961,3
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,0.5,0.5,1e-06,0.1,5,,,,,,0.10974285185925879,0.0018483741238989812,0.10974285185925879,0.0018483741238989812,0.1512764050331584,0.003632482133945487,0.1512764050331584,0.003632482133945487,0.11710282895362893,0.0012425524848935804,0.11710282895362893,0.0012425524848935804,3
bce_dice__mix_weight-0.5__dice_smooth-1e-07,bce_dice,0.5,0.5,1e-07,,5,,,,,,0.10961253350939315,0.005963766694573075,0.10645949376142466,0.010414234108267464,0.1572441375163168,0.012311806374503463,0.15344870127285506,0.017661034908073782,0.12200140114028989,0.01245178210385875,0.12200140114028989,0.01245178210385875,3
bce_dice__mix_weight-0.5__dice_smooth-1e-05,bce_dice,0.5,0.5,1e-05,,5,,,,,,0.10930591263081164,0.002091744395772422,0.10717608688316316,0.0040707734320855424,0.1551222675228558,0.002025827290108618,0.1504050257081939,0.008482052927437419,0.11670521631221105,0.0020714353764704646,0.11670521631221105,0.0020714353764704646,3
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,0.5,0.5,1e-06,0.0,5,,,,,,0.10880608523074291,0.0015824389712989664,0.09887145458948232,0.009404513929995691,0.1562471687242656,0.0025015598338474776,0.1397525773587095,0.013163682911632023,0.11670300329122148,0.011112807407858367,0.11577271058087164,0.011829533563377624,3
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,,,,,5,0.5,0.5,0.2,0.8,3.0,0.10870060449676223,0.010452621266770896,0.09940762850359419,0.019824476477539724,0.15926672061393607,0.013597284492173274,0.14595526204185327,0.026331260635442232,0.12139395560899323,0.0070052177489630055,0.11940483640610089,0.006859265601053468,3
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0.5,0.5,1e-06,0.05,5,,,,,,0.10816173637862343,0.0038970373178845944,0.10114189990634144,0.005014117106025166,0.1484180447917661,0.004667005341532247,0.14150573694586213,0.007600311581940042,0.11657437338602337,0.0064237798284794085,0.11503323411042803,0.007456279112253518,3
focal_tversky_mix__mix_weight-0.2__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,,,,,5,0.2,0.8,0.2,0.8,3.0,0.10623807551421749,0.004346297393899402,0.10253327489449741,0.003927612396642102,0.16387357310027195,0.004733467392099028,0.16232054589001552,0.004622291577806112,0.12157307397472217,0.001303308806438427,0.11554802050249678,0.006704215161348496,3
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-1__beta-0.8,focal_tversky_mix,,,,,5,0.5,0.5,0.2,0.8,1.0,0.10565407304294966,0.0008592956158506036,0.10411165116039965,0.002134274991197912,0.15203664838306405,0.0034403816301736925,0.14885751757602694,0.002775701899525331,0.12787766704200457,0.011518052171401392,0.12787766704200457,0.011518052171401392,3
