experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,1,0.22273527191579343,0.22008361625671385,0.8,0.19999999999999996,0.5,0.5,2.0,2.2381804488223252e-06,0.3857858739447591,0.0,0.018554507748498792,0.00011845797333214868,0.0,0.0006025185690287511,0.009232090805551799,0.00011339639523643639,0.04604545373520621,0.06813070330731773,0.08089176793331801
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,2,0.2194134731143713,0.21898783230781554,0.8,0.19999999999999996,0.5,0.5,2.0,0.0,0.07497895279913928,0.0,0.003602049146093368,0.0,0.008292705153323914,0.0,0.0,0.0,0.009652634122061842,0.018125078092350824,0.017374741419711313
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,3,0.21834282229840757,0.2164584296643734,0.8,0.19999999999999996,0.5,0.5,2.0,0.0,0.4963076216614185,0.0,0.012189769657434497,0.00024377163473258238,0.0,0.0,0.0,0.0,0.056526795883731724,0.07643886835368244,0.10174823259071711
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,4,0.2175198941230774,0.21561250349879266,0.8,0.19999999999999996,0.5,0.5,2.0,0.0,0.12629620988306592,0.0,0.011092034537726723,0.0,0.0,0.0009157805960711082,0.0,0.0,0.015367113890762639,0.027559864890475183,0.027477648884158528
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,0,42,5,0.21725602102279662,0.21498705554008485,0.8,0.19999999999999996,0.5,0.5,2.0,0.0,0.4896247801576846,0.0,0.005550275596145844,0.0003638577835863009,0.0,0.0,0.0,0.0,0.055059879281935196,0.07434963844639207,0.09910778270748336
