experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,dice_weight,focal_weight,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
dice_focal__mix_weight-0.2__gamma-2,dice_focal,0,42,1,0.22256778019666673,0.21914696487784385,0.2,0.8,2.0,1.0066078211190794e-05,0.38645537657209805,0.0,0.005280868727794884,0.0,0.0,0.0,0.0,0.0,0.04352736793090046,0.06311098813210388,0.07834724905997859
dice_focal__mix_weight-0.2__gamma-2,dice_focal,0,42,2,0.21946877819299698,0.2180417641401291,0.2,0.8,2.0,0.0,0.3157863500657175,0.0,0.002541950847920114,0.0,0.0,0.0,0.0,0.0,0.035369811212626404,0.053896378113486264,0.06366566018272753
dice_focal__mix_weight-0.2__gamma-2,dice_focal,0,42,3,0.21840582475066184,0.21859241276979446,0.2,0.8,2.0,0.0,0.5023574890640968,0.0,0.006582492453936555,0.0,0.0,0.0,0.0,0.0,0.05654888683533705,0.07575975748637813,0.10178799630360669
dice_focal__mix_weight-0.2__gamma-2,dice_focal,0,42,4,0.2173663775473833,0.21523103150725365,0.2,0.8,2.0,0.0,0.4009898636108054,0.0,0.006710406530962806,0.0,0.0,0.0,3.097141854258827e-05,0.0,0.04530347128447898,0.065092357539368,0.08154005402835365
dice_focal__mix_weight-0.2__gamma-2,dice_focal,0,42,5,0.21695612122118474,0.21491430032253264,0.2,0.8,2.0,0.0,0.5188797435822486,0.0,0.007243468688109393,0.0,0.0,0.0,2.066137046870318e-05,0.0,0.058460430404536315,0.07751823758175047,0.10522464245407162
