experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,dice_weight,focal_weight,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
dice_focal__mix_weight-0.5__gamma-3,dice_focal,2,44,1,0.49363271459937097,0.4923348206281662,0.5,0.5,3.0,0.0,0.4679914717422261,0.0,0.05033637336495611,0.0,0.0,0.13049116872320982,5.1719946831894636e-06,0.00018264128760143875,0.0721118696791863,0.10718615571180573,0.10366556902143645
dice_focal__mix_weight-0.5__gamma-3,dice_focal,2,44,2,0.49199306535720827,0.49122193944454196,0.5,0.5,3.0,0.0,0.48266325245629144,0.0,0.010357446489449059,0.012477488235787728,0.0,0.20744512408540142,0.0,0.0,0.07921592347410329,0.1155373368800954,0.10109963743630565
dice_focal__mix_weight-0.5__gamma-3,dice_focal,2,44,3,0.4913586134314537,0.49107392913103104,0.5,0.5,3.0,0.0,0.5069657467066477,0.0,0.01321895824046381,0.04417860180206652,0.0,0.2434440261360687,0.05074161601382656,0.0,0.09539432765545258,0.14129869619362784,0.11287266134983562
dice_focal__mix_weight-0.5__gamma-3,dice_focal,2,44,4,0.49083121395111085,0.49029008769989013,0.5,0.5,3.0,0.0,0.5256010901780027,0.0,0.04773413620387046,0.03670578289407409,0.0,0.06336765278422211,0.0,0.006122256879479995,0.07550343543773881,0.10914726888776537,0.12200820185518946
dice_focal__mix_weight-0.5__gamma-3,dice_focal,2,44,5,0.4903677491247654,0.4894957212209702,0.5,0.5,3.0,0.0,0.5246653885097057,0.0,0.04028660622242945,0.05497906633817036,0.0,0.3005065296973793,0.017461160837954064,0.0,0.10421097240062653,0.15181979161890344,0.1239862122140611
