experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix,2,44,1,0.7896531643867493,0.7845846467018127,0.2,0.8,0.5,0.5,1.0,2.238869460477237e-06,0.48737444437894495,0.0,0.1074054784832433,0.036669290173374065,0.0,0.37898664731128334,0.01952848387175542,0.0008630183785963926,0.11453662238518422,0.16775193549235146,0.12628984260711246
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix,2,44,2,0.785823970735073,0.7840592383146286,0.2,0.8,0.5,0.5,1.0,0.0,0.46580226498120914,0.0,0.04997014950435036,0.02734979618361198,0.0,0.3025361385515824,0.040705270266193576,0.0002518036524748495,0.09851282479326916,0.14747228726656436,0.1086244421338343
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix,2,44,3,0.7839442983269691,0.7826702682971954,0.2,0.8,0.5,0.5,1.0,0.0,0.5234011875496724,0.0,0.05480831765397363,0.08151256838229519,0.0,0.3766991349798932,0.027674770350212277,0.05065424461082069,0.1238611359474297,0.18214890514182283,0.13194441471718824
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix,2,44,4,0.7829940221309661,0.7809032882452012,0.2,0.8,0.5,0.5,1.0,0.06482421158676144,0.517148064322331,0.0,0.18022791096610774,0.06921187022710383,0.0,0.37520402015739374,0.048575258287948,0.08544932185860982,0.14896007304513953,0.22601484680092257,0.1533175691031085
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix,2,44,5,0.7815709438323974,0.7788187026977539,0.2,0.8,0.5,0.5,1.0,0.08744579539213569,0.499681414778899,0.0,0.1584338445518153,0.12014200689151089,0.0,0.338379643086087,0.03338982105353619,0.08207583581753747,0.14661648461905796,0.22635920261103568,0.15565145324444501
