experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,1,43,1,0.24850915443897248,0.2441630499958992,0.8,0.19999999999999996,0.8,0.19999999999999996,1.0,0.0,0.48992099635396974,0.0,0.001404398027557715,0.0,0.0,0.0,0.0,0.0,0.054591710486836385,0.07338353363345608,0.09826507887630549
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,1,43,2,0.24134426315128804,0.23613482156395912,0.8,0.19999999999999996,0.8,0.19999999999999996,1.0,0.0,0.3999461773374221,0.0,0.003169457887728419,0.0,0.0,0.0,0.0,0.0,0.04479062613612784,0.06418805961753475,0.08062312704503011
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,1,43,3,0.23975386661291123,0.23466495445370675,0.8,0.19999999999999996,0.8,0.19999999999999996,1.0,0.0,0.4405164738279049,0.0,0.012489001938305008,0.0,0.0,0.1966265842020768,0.0,0.0,0.0721813399964763,0.10721264459979239,0.09060109515324197
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,1,43,4,0.238677476644516,0.23546931433677673,0.8,0.19999999999999996,0.8,0.19999999999999996,1.0,0.0,0.17162860596364407,0.0,0.002589871282311044,0.0009459137295917183,0.0,0.03194004715161622,0.0,0.0,0.02301160423635145,0.04021485943392934,0.03503287819510937
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,1,43,5,0.23808151325583457,0.23383847498893737,0.8,0.19999999999999996,0.8,0.19999999999999996,1.0,0.0,0.43139616649032686,0.0,0.0030572871415795746,0.0,0.0,0.00039186225799741107,0.0,0.0,0.04831614620998932,0.0677380150051338,0.0868906907263813
