loss_mode,term,pretty_term,coef,abs_coef,pvalue,stderr,tvalue,is_interaction
focal_tversky_mix,mix_weight,mix_weight,-0.019506449865821725,0.019506449865821725,2.296654462697961e-21,0.0014554208840656694,-13.402617812746449,False
focal_tversky_mix,gamma:mix_weight,gamma × mix_weight,0.00533457608237981,0.00533457608237981,0.00046557005757586796,0.0014554208840656683,3.6653150581966742,True
focal_tversky_mix,beta,beta,-0.004261778817193601,0.004261778817193601,1.2578260750640687e-07,0.0007277104420328348,-5.856421140925866,False
focal_tversky_mix,alpha,alpha,0.004261778817193591,0.004261778817193591,1.2578260750641007e-07,0.0007277104420328341,5.8564211409258595,False
focal_tversky_mix,gamma,gamma,0.0016018138979772899,0.0016018138979772899,0.27469342942979197,0.0014554208840656683,1.1005846594029058,False
focal_tversky_mix,beta:gamma,beta × gamma,-0.0008854847076006242,0.0008854847076006242,0.2275962683978164,0.0007277104420328342,-1.216809126892632,True
focal_tversky_mix,alpha:gamma,alpha × gamma,0.0008854847076006209,0.0008854847076006209,0.22759626839781866,0.0007277104420328347,1.2168091268926264,True
focal_tversky_mix,alpha:beta,alpha × beta,0.000338483620250835,0.000338483620250835,0.8698313545216594,0.002058275953206709,0.1644500678946822,True
focal_tversky_mix,alpha:mix_weight,alpha × mix_weight,0.0001608377358686072,0.0001608377358686072,0.8256947774942158,0.0007277104420328344,0.22101886489262468,True
focal_tversky_mix,beta:mix_weight,beta × mix_weight,-0.00016083773586860492,0.00016083773586860492,0.8256947774942183,0.0007277104420328343,-0.22101886489262157,True
