experiment_name,loss_mode,repeat_idx,seed,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,best_miou,last_miou,best_macro_f1,last_macro_f1,best_rare_miou,last_rare_miou,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,mix_weight,dice_smooth,soft_bce_smooth,alpha,gamma,beta
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.2,0.8,1e-05,0.0,0.1346466379259439,0.1341777935789176,0.2075228461596306,0.2075228461596306,0.1492553114353892,0.1492553114353892,5,,,,,,0.2,1e-05,0.0,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.2,0.8,1e-05,0.05,0.1238098257800583,0.1238098257800583,0.1826690646002523,0.1826690646002523,0.1338553538506617,0.1118504683089333,5,,,,,,0.2,1e-05,0.05,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.2,0.8,1e-05,0.05,0.1346936931274385,0.1346936931274385,0.2087618364379553,0.2087618364379553,0.1374327557518289,0.1374327557518289,5,,,,,,0.2,1e-05,0.05,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.2,0.8,1e-05,0.05,0.1531951562668007,0.1531951562668007,0.2367478745598328,0.2367478745598328,0.1691240231738776,0.1691240231738776,5,,,,,,0.2,1e-05,0.05,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.2,0.8,1e-05,0.1,0.1443128208227668,0.1443128208227668,0.2214434515322494,0.2214434515322494,0.1449135130870759,0.1238501399024632,5,,,,,,0.2,1e-05,0.1,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.2,0.8,1e-05,0.1,0.1488159905885939,0.1488159905885939,0.2264807198136016,0.2264807198136016,0.1551505178061173,0.1551505178061173,5,,,,,,0.2,1e-05,0.1,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.2,0.8,1e-05,0.1,0.1673640741736727,0.1429507507499988,0.2534332225615163,0.2279659406119362,0.1644369259301505,0.1485264646143493,5,,,,,,0.2,1e-05,0.1,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.5,0.5,1e-07,0.0,0.1075423926508338,0.09252429862083,0.1546739319183676,0.1315046203845563,0.129584511801912,0.129584511801912,5,,,,,,0.5,1e-07,0.0,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.5,0.5,1e-07,0.0,0.1058891260153789,0.1038149909037844,0.1484307101082164,0.1454185154360235,0.1107927809564034,0.1107927809564034,5,,,,,,0.5,1e-07,0.0,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.5,0.5,1e-07,0.0,0.1191400502261321,0.1191400502261321,0.1726122521358586,0.1726122521358586,0.1394199951457984,0.1394199951457984,5,,,,,,0.5,1e-07,0.0,,,
