epoch,train_loss,val_loss,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
1,0.7722075427770615,0.5881488553881645,0.0,0.2709151377238098,0.0,0.034844905441274644,0.0,0.0,0.0,0.0,0.048230742067339315,0.039332309470269305,0.06507746534793332,0.04424884815405297
2,0.7205126579999924,0.5678640477657318,0.00020674748613852081,0.17905613427939227,0.0,0.004281210982456773,0.0,0.0,0.0,0.0,0.007098535702139812,0.021182514272236372,0.03630713940579262,0.023804485120498604
3,0.7167690969109535,0.5816204163432122,0.0,0.2790792840166166,0.0,0.06049173174871423,0.0,0.0,0.0,0.0,0.05289466380110083,0.04360729772960351,0.07232582665880592,0.049058209945803954
4,0.7148764463067054,0.5836150310039521,0.0063608605160684365,0.1478893666386756,5.279930164123696e-06,0.10315196700873852,0.0,0.0,0.0,0.0,0.04605994143842677,0.03371860172578594,0.06060005748627728,0.037138319377000635
5,0.7068244045376778,0.5819435373544694,0.012569028183328439,0.27169108837799166,0.0,0.12254178772417625,0.0,0.0,0.0,0.0,0.038874816622740456,0.04951963565647075,0.08280959990945548,0.05413846159061354
