epoch,train_loss,val_loss,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou
1,0.12373923576623201,0.09308230807632208,0.0,0.43901912661105363,0.0,0.004789722439957069,0.0,0.0,0.0,0.0,0.0,0.04931209433900119,0.06885535428119939,0.05547610613137634
2,0.10350967130437494,0.08982973029837012,0.0,0.4931441405984172,0.0,0.007241349237008983,0.0,0.0,0.0,0.0,0.0,0.0555983877594918,0.07499146290908827,0.06254818622942827
3,0.09915122811496258,0.08556155606359243,0.0,0.49402139468310025,0.0,0.02127487975551189,0.0,0.0,0.18403293185839154,0.0,0.0,0.07770324514411152,0.11265025039169524,0.08741615078712546
4,0.09577342632040381,0.08543799575045705,0.0,0.2996145660344291,0.0,0.0278194790875504,0.0,0.0,0.2308933374956281,9.418767836791589e-06,0.0007411406712059556,0.06211977133962782,0.09909767351203562,0.06988474275708129
5,0.09327345761284232,0.08591579016670585,0.0,0.48451461829128717,0.0,0.03714458946915447,0.0,0.0,0.3345030601718582,0.0,0.06217689036615881,0.10203768425538429,0.14919734537306215,0.11479239478730732
