loss_mode,best_miou,last_miou,epochs
focal,0.0,0.0,8
bce_focal,0.011835083785853169,0.011835083785853169,8
dice_focal,0.0769102643721958,0.0769102643721958,8
focal,8.305326170790362e-05,3.3326889894372884e-05,8
bce_focal,0.003043146937747464,0.003043146937747464,8
dice_focal,0.057133634935013444,0.04363788778884105,8
focal,0.0007288202038085124,0.0007288202038085124,8
bce_focal,0.004449672815683485,0.004449672815683485,8
dice_focal,0.06265175276511513,0.05744118943424589,8
