loss_name,stage_name,candidate_name,repeat_idx,seed,params_json,mix_weight,gamma,dice_weight,focal_weight,focal_gamma,best_miou,best_macro_f1,best_rare_miou,last_miou,last_macro_f1,last_rare_miou,best_epoch,epochs
dice_focal,stage1_mix_coarse,dice_focal__mix_weight-0.65__gamma-1,0,42,"{""gamma"": 1.0, ""mix_weight"": 0.65}",0.65,1.0,0.65,0.35,1.0,0.0767812970204741,0.1119134189166081,0.08637895914803337,0.0767812970204741,0.1119134189166081,0.08637895914803337,3,3
dice_focal,stage1_mix_coarse,dice_focal__mix_weight-0.72__gamma-1,0,42,"{""gamma"": 1.0, ""mix_weight"": 0.72}",0.72,1.0,0.72,0.28,1.0,0.09857941626577343,0.1505855765811322,0.10858098762645027,0.09857941626577343,0.1505855765811322,0.10858098762645027,3,3
dice_focal,stage1_mix_coarse,dice_focal__mix_weight-0.78__gamma-1,0,42,"{""gamma"": 1.0, ""mix_weight"": 0.78}",0.78,1.0,0.78,0.21999999999999997,1.0,0.08557879037209996,0.13064909523200707,0.09627613916861247,0.08557879037209996,0.13064909523200707,0.09627613916861247,3,3
dice_focal,stage1_mix_coarse,dice_focal__mix_weight-0.84__gamma-1,0,42,"{""gamma"": 1.0, ""mix_weight"": 0.84}",0.84,1.0,0.84,0.16000000000000003,1.0,0.11172045238668818,0.17915272057475248,0.12204709558028112,0.11172045238668818,0.17915272057475248,0.12204709558028112,3,3
dice_focal,stage1_mix_coarse,dice_focal__mix_weight-0.9__gamma-1,0,42,"{""gamma"": 1.0, ""mix_weight"": 0.9}",0.9,1.0,0.9,0.09999999999999998,1.0,0.09812506985220927,0.15691039466873086,0.11037329665098929,0.09812506985220927,0.15691039466873086,0.11037329665098929,3,3
dice_focal,stage1_mix_coarse,dice_focal__mix_weight-0.95__gamma-1,0,42,"{""gamma"": 1.0, ""mix_weight"": 0.95}",0.95,1.0,0.95,0.050000000000000044,1.0,0.08797826163433714,0.14770160440204078,0.09281349016610205,0.08797826163433714,0.14770160440204078,0.09281349016610205,3,3
dice_focal,stage1_mix_coarse,dice_focal__mix_weight-0.84__gamma-1,1,43,"{""gamma"": 1.0, ""mix_weight"": 0.84}",0.84,1.0,0.84,0.16000000000000003,1.0,0.10171818753539846,0.16770980956536502,0.10597666497494468,0.10171818753539846,0.16770980956536502,0.10597666497494468,3,3
dice_focal,stage1_mix_coarse,dice_focal__mix_weight-0.72__gamma-1,1,43,"{""gamma"": 1.0, ""mix_weight"": 0.72}",0.72,1.0,0.72,0.28,1.0,0.07426465112435689,0.1067548617086268,0.0835477325149015,0.07426465112435689,0.1067548617086268,0.0835477325149015,3,3
